User _ID,Product_ID,Product_Category,Purchase History,Rating
U0006,P022,Apparel,"[('P008', datetime.date(2024, 7, 14)), ('P016', datetime.date(2024, 10, 26)), ('P047', datetime.date(2024, 7, 22)), ('P022', datetime.date(2024, 8, 22)), ('P004', datetime.date(2024, 8, 31))]",3.2
U0006,P004,Apparel,"[('P008', datetime.date(2024, 7, 14)), ('P016', datetime.date(2024, 10, 26)), ('P047', datetime.date(2024, 7, 22)), ('P022', datetime.date(2024, 8, 22)), ('P004', datetime.date(2024, 8, 31))]",3.3
U0007,P017,Toys,"[('P017', datetime.date(2024, 4, 2))]",2.2
U0008,P022,Apparel,"[('P022', datetime.date(2024, 4, 2)), ('P006', datetime.date(2024, 3, 3)), ('P006', datetime.date(2024, 9, 12))]",4.4
U0008,P006,Home Appliances,"[('P022', datetime.date(2024, 4, 2)), ('P006', datetime.date(2024, 3, 3)), ('P006', datetime.date(2024, 9, 12))]",3.7
U0008,P006,Home Appliances,"[('P022', datetime.date(2024, 4, 2)), ('P006', datetime.date(2024, 3, 3)), ('P006', datetime.date(2024, 9, 12))]",2.0
U0009,P015,Books,"[('P015', datetime.date(2024, 2, 3))]",3.8
U0010,P015,Books,"[('P015', datetime.date(2024, 7, 23)), ('P045', datetime.date(2024, 8, 18))]",2.6
U0010,P045,Toys,"[('P015', datetime.date(2024, 7, 23)), ('P045', datetime.date(2024, 8, 18))]",3.4
U0011,P033,Books,"[('P033', datetime.date(2024, 10, 23)), ('P029', datetime.date(2024, 2, 6)), ('P022', datetime.date(2024, 3, 9)), ('P001', datetime.date(2024, 9, 24))]",1.7
U0011,P029,Electronics,"[('P033', datetime.date(2024, 10, 23)), ('P029', datetime.date(2024, 2, 6)), ('P022', datetime.date(2024, 3, 9)), ('P001', datetime.date(2024, 9, 24))]",1.5
U0011,P022,Apparel,"[('P033', datetime.date(2024, 10, 23)), ('P029', datetime.date(2024, 2, 6)), ('P022', datetime.date(2024, 3, 9)), ('P001', datetime.date(2024, 9, 24))]",2.2
U0011,P001,Groceries,"[('P033', datetime.date(2024, 10, 23)), ('P029', datetime.date(2024, 2, 6)), ('P022', datetime.date(2024, 3, 9)), ('P001', datetime.date(2024, 9, 24))]",5.0
U0012,P007,Apparel,"[('P007', datetime.date(2024, 5, 3)), ('P006', datetime.date(2024, 10, 15)), ('P049', datetime.date(2024, 9, 18)), ('P021', datetime.date(2024, 4, 12)), ('P003', datetime.date(2024, 3, 4))]",3.4
U0012,P006,Home Appliances,"[('P007', datetime.date(2024, 5, 3)), ('P006', datetime.date(2024, 10, 15)), ('P049', datetime.date(2024, 9, 18)), ('P021', datetime.date(2024, 4, 12)), ('P003', datetime.date(2024, 3, 4))]",4.7
U0012,P049,Groceries,"[('P007', datetime.date(2024, 5, 3)), ('P006', datetime.date(2024, 10, 15)), ('P049', datetime.date(2024, 9, 18)), ('P021', datetime.date(2024, 4, 12)), ('P003', datetime.date(2024, 3, 4))]",4.3
U0012,P021,Books,"[('P007', datetime.date(2024, 5, 3)), ('P006', datetime.date(2024, 10, 15)), ('P049', datetime.date(2024, 9, 18)), ('P021', datetime.date(2024, 4, 12)), ('P003', datetime.date(2024, 3, 4))]",4.4
U0012,P003,Books,"[('P007', datetime.date(2024, 5, 3)), ('P006', datetime.date(2024, 10, 15)), ('P049', datetime.date(2024, 9, 18)), ('P021', datetime.date(2024, 4, 12)), ('P003', datetime.date(2024, 3, 4))]",3.9
U0013,P040,Groceries,"[('P040', datetime.date(2024, 5, 24)), ('P028', datetime.date(2024, 9, 8)), ('P008', datetime.date(2024, 4, 28))]",3.5
U0013,P028,Electronics,"[('P040', datetime.date(2024, 5, 24)), ('P028', datetime.date(2024, 9, 8)), ('P008', datetime.date(2024, 4, 28))]",1.4
U0013,P008,Books,"[('P040', datetime.date(2024, 5, 24)), ('P028', datetime.date(2024, 9, 8)), ('P008', datetime.date(2024, 4, 28))]",3.5
U0014,P002,Toys,"[('P002', datetime.date(2024, 1, 5)), ('P026', datetime.date(2024, 4, 19))]",3.1
U0014,P026,Electronics,"[('P002', datetime.date(2024, 1, 5)), ('P026', datetime.date(2024, 4, 19))]",1.5
U0015,P045,Toys,"[('P045', datetime.date(2024, 2, 16)), ('P036', datetime.date(2024, 10, 18))]",5.0
U0015,P036,Toys,"[('P045', datetime.date(2024, 2, 16)), ('P036', datetime.date(2024, 10, 18))]",2.9
U0016,P001,Groceries,"[('P001', datetime.date(2024, 8, 11)), ('P007', datetime.date(2024, 2, 16)), ('P033', datetime.date(2024, 1, 1)), ('P007', datetime.date(2024, 11, 7)), ('P031', datetime.date(2024, 10, 7))]",3.0
U0016,P007,Apparel,"[('P001', datetime.date(2024, 8, 11)), ('P007', datetime.date(2024, 2, 16)), ('P033', datetime.date(2024, 1, 1)), ('P007', datetime.date(2024, 11, 7)), ('P031', datetime.date(2024, 10, 7))]",2.2
U0016,P033,Books,"[('P001', datetime.date(2024, 8, 11)), ('P007', datetime.date(2024, 2, 16)), ('P033', datetime.date(2024, 1, 1)), ('P007', datetime.date(2024, 11, 7)), ('P031', datetime.date(2024, 10, 7))]",1.3
U0016,P007,Apparel,"[('P001', datetime.date(2024, 8, 11)), ('P007', datetime.date(2024, 2, 16)), ('P033', datetime.date(2024, 1, 1)), ('P007', datetime.date(2024, 11, 7)), ('P031', datetime.date(2024, 10, 7))]",1.7
U0016,P031,Home Appliances,"[('P001', datetime.date(2024, 8, 11)), ('P007', datetime.date(2024, 2, 16)), ('P033', datetime.date(2024, 1, 1)), ('P007', datetime.date(2024, 11, 7)), ('P031', datetime.date(2024, 10, 7))]",2.1
U0017,P027,Home Appliances,"[('P027', datetime.date(2024, 3, 1))]",1.5
U0018,P003,Books,"[('P003', datetime.date(2024, 6, 25)), ('P037', datetime.date(2024, 11, 8)), ('P028', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 6, 16)), ('P050', datetime.date(2024, 2, 11))]",2.4
U0018,P037,Groceries,"[('P003', datetime.date(2024, 6, 25)), ('P037', datetime.date(2024, 11, 8)), ('P028', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 6, 16)), ('P050', datetime.date(2024, 2, 11))]",1.4
U0018,P028,Electronics,"[('P003', datetime.date(2024, 6, 25)), ('P037', datetime.date(2024, 11, 8)), ('P028', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 6, 16)), ('P050', datetime.date(2024, 2, 11))]",2.6
U0018,P017,Toys,"[('P003', datetime.date(2024, 6, 25)), ('P037', datetime.date(2024, 11, 8)), ('P028', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 6, 16)), ('P050', datetime.date(2024, 2, 11))]",2.2
U0018,P050,Books,"[('P003', datetime.date(2024, 6, 25)), ('P037', datetime.date(2024, 11, 8)), ('P028', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 6, 16)), ('P050', datetime.date(2024, 2, 11))]",3.9
U0019,P050,Books,"[('P050', datetime.date(2024, 3, 29)), ('P007', datetime.date(2024, 11, 5)), ('P034', datetime.date(2024, 3, 11)), ('P033', datetime.date(2024, 4, 30))]",4.0
U0019,P007,Apparel,"[('P050', datetime.date(2024, 3, 29)), ('P007', datetime.date(2024, 11, 5)), ('P034', datetime.date(2024, 3, 11)), ('P033', datetime.date(2024, 4, 30))]",2.5
U0019,P034,Home Appliances,"[('P050', datetime.date(2024, 3, 29)), ('P007', datetime.date(2024, 11, 5)), ('P034', datetime.date(2024, 3, 11)), ('P033', datetime.date(2024, 4, 30))]",2.4
U0019,P033,Books,"[('P050', datetime.date(2024, 3, 29)), ('P007', datetime.date(2024, 11, 5)), ('P034', datetime.date(2024, 3, 11)), ('P033', datetime.date(2024, 4, 30))]",4.0
U0020,P013,Home Appliances,"[('P013', datetime.date(2024, 11, 9)), ('P043', datetime.date(2024, 10, 20)), ('P031', datetime.date(2024, 10, 16)), ('P047', datetime.date(2024, 10, 14))]",1.1
U0020,P043,Toys,"[('P013', datetime.date(2024, 11, 9)), ('P043', datetime.date(2024, 10, 20)), ('P031', datetime.date(2024, 10, 16)), ('P047', datetime.date(2024, 10, 14))]",1.4
U0020,P031,Home Appliances,"[('P013', datetime.date(2024, 11, 9)), ('P043', datetime.date(2024, 10, 20)), ('P031', datetime.date(2024, 10, 16)), ('P047', datetime.date(2024, 10, 14))]",2.5
U0020,P047,Apparel,"[('P013', datetime.date(2024, 11, 9)), ('P043', datetime.date(2024, 10, 20)), ('P031', datetime.date(2024, 10, 16)), ('P047', datetime.date(2024, 10, 14))]",3.2
U0021,P001,Groceries,"[('P001', datetime.date(2024, 10, 15)), ('P040', datetime.date(2024, 4, 17)), ('P019', datetime.date(2024, 9, 1))]",1.5
U0021,P040,Groceries,"[('P001', datetime.date(2024, 10, 15)), ('P040', datetime.date(2024, 4, 17)), ('P019', datetime.date(2024, 9, 1))]",1.4
U0021,P019,Toys,"[('P001', datetime.date(2024, 10, 15)), ('P040', datetime.date(2024, 4, 17)), ('P019', datetime.date(2024, 9, 1))]",1.3
U0022,P008,Books,"[('P008', datetime.date(2024, 9, 10)), ('P016', datetime.date(2024, 6, 26)), ('P028', datetime.date(2024, 7, 9)), ('P003', datetime.date(2024, 1, 3))]",2.4
U0022,P016,Books,"[('P008', datetime.date(2024, 9, 10)), ('P016', datetime.date(2024, 6, 26)), ('P028', datetime.date(2024, 7, 9)), ('P003', datetime.date(2024, 1, 3))]",4.2
U0022,P028,Electronics,"[('P008', datetime.date(2024, 9, 10)), ('P016', datetime.date(2024, 6, 26)), ('P028', datetime.date(2024, 7, 9)), ('P003', datetime.date(2024, 1, 3))]",4.9
U0022,P003,Books,"[('P008', datetime.date(2024, 9, 10)), ('P016', datetime.date(2024, 6, 26)), ('P028', datetime.date(2024, 7, 9)), ('P003', datetime.date(2024, 1, 3))]",4.1
U0023,P016,Books,"[('P016', datetime.date(2024, 10, 15)), ('P024', datetime.date(2024, 5, 25)), ('P045', datetime.date(2024, 7, 16)), ('P040', datetime.date(2024, 10, 8))]",4.6
U0023,P024,Books,"[('P016', datetime.date(2024, 10, 15)), ('P024', datetime.date(2024, 5, 25)), ('P045', datetime.date(2024, 7, 16)), ('P040', datetime.date(2024, 10, 8))]",2.1
U0023,P045,Toys,"[('P016', datetime.date(2024, 10, 15)), ('P024', datetime.date(2024, 5, 25)), ('P045', datetime.date(2024, 7, 16)), ('P040', datetime.date(2024, 10, 8))]",1.8
U0023,P040,Groceries,"[('P016', datetime.date(2024, 10, 15)), ('P024', datetime.date(2024, 5, 25)), ('P045', datetime.date(2024, 7, 16)), ('P040', datetime.date(2024, 10, 8))]",3.1
U0024,P027,Home Appliances,"[('P027', datetime.date(2024, 5, 19)), ('P040', datetime.date(2024, 2, 1)), ('P011', datetime.date(2024, 5, 28)), ('P042', datetime.date(2024, 6, 17)), ('P027', datetime.date(2024, 11, 3))]",2.4
U0024,P040,Groceries,"[('P027', datetime.date(2024, 5, 19)), ('P040', datetime.date(2024, 2, 1)), ('P011', datetime.date(2024, 5, 28)), ('P042', datetime.date(2024, 6, 17)), ('P027', datetime.date(2024, 11, 3))]",3.8
U0024,P011,Toys,"[('P027', datetime.date(2024, 5, 19)), ('P040', datetime.date(2024, 2, 1)), ('P011', datetime.date(2024, 5, 28)), ('P042', datetime.date(2024, 6, 17)), ('P027', datetime.date(2024, 11, 3))]",3.2
U0024,P042,Toys,"[('P027', datetime.date(2024, 5, 19)), ('P040', datetime.date(2024, 2, 1)), ('P011', datetime.date(2024, 5, 28)), ('P042', datetime.date(2024, 6, 17)), ('P027', datetime.date(2024, 11, 3))]",4.0
U0024,P027,Home Appliances,"[('P027', datetime.date(2024, 5, 19)), ('P040', datetime.date(2024, 2, 1)), ('P011', datetime.date(2024, 5, 28)), ('P042', datetime.date(2024, 6, 17)), ('P027', datetime.date(2024, 11, 3))]",2.2
U0025,P026,Electronics,"[('P026', datetime.date(2024, 6, 3)), ('P024', datetime.date(2024, 6, 28)), ('P007', datetime.date(2024, 10, 18)), ('P003', datetime.date(2024, 8, 8)), ('P006', datetime.date(2024, 8, 26))]",2.1
U0025,P024,Books,"[('P026', datetime.date(2024, 6, 3)), ('P024', datetime.date(2024, 6, 28)), ('P007', datetime.date(2024, 10, 18)), ('P003', datetime.date(2024, 8, 8)), ('P006', datetime.date(2024, 8, 26))]",1.8
U0025,P007,Apparel,"[('P026', datetime.date(2024, 6, 3)), ('P024', datetime.date(2024, 6, 28)), ('P007', datetime.date(2024, 10, 18)), ('P003', datetime.date(2024, 8, 8)), ('P006', datetime.date(2024, 8, 26))]",4.0
U0025,P003,Books,"[('P026', datetime.date(2024, 6, 3)), ('P024', datetime.date(2024, 6, 28)), ('P007', datetime.date(2024, 10, 18)), ('P003', datetime.date(2024, 8, 8)), ('P006', datetime.date(2024, 8, 26))]",2.3
U0025,P006,Home Appliances,"[('P026', datetime.date(2024, 6, 3)), ('P024', datetime.date(2024, 6, 28)), ('P007', datetime.date(2024, 10, 18)), ('P003', datetime.date(2024, 8, 8)), ('P006', datetime.date(2024, 8, 26))]",2.5
U0026,P003,Books,"[('P003', datetime.date(2024, 2, 7)), ('P040', datetime.date(2024, 6, 11)), ('P034', datetime.date(2024, 1, 11))]",4.5
U0026,P040,Groceries,"[('P003', datetime.date(2024, 2, 7)), ('P040', datetime.date(2024, 6, 11)), ('P034', datetime.date(2024, 1, 11))]",3.4
U0026,P034,Home Appliances,"[('P003', datetime.date(2024, 2, 7)), ('P040', datetime.date(2024, 6, 11)), ('P034', datetime.date(2024, 1, 11))]",3.1
U0027,P006,Home Appliances,"[('P006', datetime.date(2024, 4, 13))]",3.0
U0028,P019,Toys,"[('P019', datetime.date(2024, 8, 18)), ('P009', datetime.date(2024, 4, 9)), ('P043', datetime.date(2024, 9, 28)), ('P011', datetime.date(2024, 1, 24))]",3.8
U0028,P009,Home Appliances,"[('P019', datetime.date(2024, 8, 18)), ('P009', datetime.date(2024, 4, 9)), ('P043', datetime.date(2024, 9, 28)), ('P011', datetime.date(2024, 1, 24))]",2.7
U0028,P043,Toys,"[('P019', datetime.date(2024, 8, 18)), ('P009', datetime.date(2024, 4, 9)), ('P043', datetime.date(2024, 9, 28)), ('P011', datetime.date(2024, 1, 24))]",1.5
U0028,P011,Toys,"[('P019', datetime.date(2024, 8, 18)), ('P009', datetime.date(2024, 4, 9)), ('P043', datetime.date(2024, 9, 28)), ('P011', datetime.date(2024, 1, 24))]",1.2
U0029,P022,Apparel,"[('P022', datetime.date(2024, 2, 28)), ('P033', datetime.date(2024, 4, 18))]",3.2
U0029,P033,Books,"[('P022', datetime.date(2024, 2, 28)), ('P033', datetime.date(2024, 4, 18))]",1.2
U0030,P004,Apparel,"[('P004', datetime.date(2024, 10, 14)), ('P004', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 2, 16)), ('P042', datetime.date(2024, 4, 24))]",2.0
U0030,P004,Apparel,"[('P004', datetime.date(2024, 10, 14)), ('P004', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 2, 16)), ('P042', datetime.date(2024, 4, 24))]",1.3
U0030,P017,Toys,"[('P004', datetime.date(2024, 10, 14)), ('P004', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 2, 16)), ('P042', datetime.date(2024, 4, 24))]",2.1
U0030,P042,Toys,"[('P004', datetime.date(2024, 10, 14)), ('P004', datetime.date(2024, 3, 6)), ('P017', datetime.date(2024, 2, 16)), ('P042', datetime.date(2024, 4, 24))]",4.8
U0031,P043,Toys,"[('P043', datetime.date(2024, 7, 15))]",2.6
U0032,P019,Toys,"[('P019', datetime.date(2024, 7, 7)), ('P042', datetime.date(2024, 4, 13)), ('P035', datetime.date(2024, 8, 22)), ('P026', datetime.date(2024, 3, 18)), ('P014', datetime.date(2024, 1, 22))]",3.9
U0032,P042,Toys,"[('P019', datetime.date(2024, 7, 7)), ('P042', datetime.date(2024, 4, 13)), ('P035', datetime.date(2024, 8, 22)), ('P026', datetime.date(2024, 3, 18)), ('P014', datetime.date(2024, 1, 22))]",2.5
U0032,P035,Apparel,"[('P019', datetime.date(2024, 7, 7)), ('P042', datetime.date(2024, 4, 13)), ('P035', datetime.date(2024, 8, 22)), ('P026', datetime.date(2024, 3, 18)), ('P014', datetime.date(2024, 1, 22))]",4.1
U0032,P026,Electronics,"[('P019', datetime.date(2024, 7, 7)), ('P042', datetime.date(2024, 4, 13)), ('P035', datetime.date(2024, 8, 22)), ('P026', datetime.date(2024, 3, 18)), ('P014', datetime.date(2024, 1, 22))]",2.5
U0032,P014,Home Appliances,"[('P019', datetime.date(2024, 7, 7)), ('P042', datetime.date(2024, 4, 13)), ('P035', datetime.date(2024, 8, 22)), ('P026', datetime.date(2024, 3, 18)), ('P014', datetime.date(2024, 1, 22))]",3.5
U0033,P004,Apparel,"[('P004', datetime.date(2024, 11, 15))]",1.4
U0034,P031,Home Appliances,"[('P031', datetime.date(2024, 7, 8)), ('P007', datetime.date(2024, 5, 23))]",1.7
U0034,P007,Apparel,"[('P031', datetime.date(2024, 7, 8)), ('P007', datetime.date(2024, 5, 23))]",4.7
U0035,P030,Home Appliances,"[('P030', datetime.date(2024, 1, 26))]",1.9
U0036,P032,Apparel,"[('P032', datetime.date(2024, 1, 9)), ('P041', datetime.date(2024, 2, 23)), ('P042', datetime.date(2024, 10, 31)), ('P001', datetime.date(2024, 5, 7))]",4.5
U0036,P041,Groceries,"[('P032', datetime.date(2024, 1, 9)), ('P041', datetime.date(2024, 2, 23)), ('P042', datetime.date(2024, 10, 31)), ('P001', datetime.date(2024, 5, 7))]",2.1
U0036,P042,Toys,"[('P032', datetime.date(2024, 1, 9)), ('P041', datetime.date(2024, 2, 23)), ('P042', datetime.date(2024, 10, 31)), ('P001', datetime.date(2024, 5, 7))]",1.8
U0036,P001,Groceries,"[('P032', datetime.date(2024, 1, 9)), ('P041', datetime.date(2024, 2, 23)), ('P042', datetime.date(2024, 10, 31)), ('P001', datetime.date(2024, 5, 7))]",2.7
U0037,P035,Apparel,"[('P035', datetime.date(2024, 11, 11))]",3.2
U0038,P048,Electronics,"[('P048', datetime.date(2024, 7, 18)), ('P031', datetime.date(2024, 11, 17)), ('P007', datetime.date(2024, 1, 21))]",4.6
U0038,P031,Home Appliances,"[('P048', datetime.date(2024, 7, 18)), ('P031', datetime.date(2024, 11, 17)), ('P007', datetime.date(2024, 1, 21))]",4.0
U0038,P007,Apparel,"[('P048', datetime.date(2024, 7, 18)), ('P031', datetime.date(2024, 11, 17)), ('P007', datetime.date(2024, 1, 21))]",1.0
U0039,P033,Books,"[('P033', datetime.date(2024, 6, 13)), ('P035', datetime.date(2024, 5, 11)), ('P028', datetime.date(2024, 5, 5)), ('P011', datetime.date(2024, 6, 1)), ('P034', datetime.date(2024, 7, 15))]",1.2
U0039,P035,Apparel,"[('P033', datetime.date(2024, 6, 13)), ('P035', datetime.date(2024, 5, 11)), ('P028', datetime.date(2024, 5, 5)), ('P011', datetime.date(2024, 6, 1)), ('P034', datetime.date(2024, 7, 15))]",3.3
U0039,P028,Electronics,"[('P033', datetime.date(2024, 6, 13)), ('P035', datetime.date(2024, 5, 11)), ('P028', datetime.date(2024, 5, 5)), ('P011', datetime.date(2024, 6, 1)), ('P034', datetime.date(2024, 7, 15))]",2.9
U0039,P011,Toys,"[('P033', datetime.date(2024, 6, 13)), ('P035', datetime.date(2024, 5, 11)), ('P028', datetime.date(2024, 5, 5)), ('P011', datetime.date(2024, 6, 1)), ('P034', datetime.date(2024, 7, 15))]",1.9
U0039,P034,Home Appliances,"[('P033', datetime.date(2024, 6, 13)), ('P035', datetime.date(2024, 5, 11)), ('P028', datetime.date(2024, 5, 5)), ('P011', datetime.date(2024, 6, 1)), ('P034', datetime.date(2024, 7, 15))]",1.5
U0040,P034,Home Appliances,"[('P034', datetime.date(2024, 7, 25)), ('P041', datetime.date(2024, 1, 22)), ('P012', datetime.date(2024, 3, 28))]",1.0
U0040,P041,Groceries,"[('P034', datetime.date(2024, 7, 25)), ('P041', datetime.date(2024, 1, 22)), ('P012', datetime.date(2024, 3, 28))]",1.9
U0040,P012,Home Appliances,"[('P034', datetime.date(2024, 7, 25)), ('P041', datetime.date(2024, 1, 22)), ('P012', datetime.date(2024, 3, 28))]",2.6
U0041,P001,Groceries,"[('P001', datetime.date(2024, 4, 13)), ('P048', datetime.date(2024, 6, 16)), ('P045', datetime.date(2024, 8, 16)), ('P024', datetime.date(2024, 6, 16)), ('P039', datetime.date(2024, 9, 22))]",3.8
U0041,P048,Electronics,"[('P001', datetime.date(2024, 4, 13)), ('P048', datetime.date(2024, 6, 16)), ('P045', datetime.date(2024, 8, 16)), ('P024', datetime.date(2024, 6, 16)), ('P039', datetime.date(2024, 9, 22))]",2.7
U0041,P045,Toys,"[('P001', datetime.date(2024, 4, 13)), ('P048', datetime.date(2024, 6, 16)), ('P045', datetime.date(2024, 8, 16)), ('P024', datetime.date(2024, 6, 16)), ('P039', datetime.date(2024, 9, 22))]",4.4
U0041,P024,Books,"[('P001', datetime.date(2024, 4, 13)), ('P048', datetime.date(2024, 6, 16)), ('P045', datetime.date(2024, 8, 16)), ('P024', datetime.date(2024, 6, 16)), ('P039', datetime.date(2024, 9, 22))]",2.3
U0041,P039,Toys,"[('P001', datetime.date(2024, 4, 13)), ('P048', datetime.date(2024, 6, 16)), ('P045', datetime.date(2024, 8, 16)), ('P024', datetime.date(2024, 6, 16)), ('P039', datetime.date(2024, 9, 22))]",1.5
U0042,P029,Electronics,"[('P029', datetime.date(2024, 4, 16)), ('P001', datetime.date(2024, 6, 14)), ('P030', datetime.date(2024, 8, 22))]",4.1
U0042,P001,Groceries,"[('P029', datetime.date(2024, 4, 16)), ('P001', datetime.date(2024, 6, 14)), ('P030', datetime.date(2024, 8, 22))]",2.5
U0042,P030,Home Appliances,"[('P029', datetime.date(2024, 4, 16)), ('P001', datetime.date(2024, 6, 14)), ('P030', datetime.date(2024, 8, 22))]",1.2
U0043,P011,Toys,"[('P011', datetime.date(2024, 5, 17)), ('P022', datetime.date(2024, 10, 5)), ('P007', datetime.date(2024, 6, 18)), ('P024', datetime.date(2024, 3, 18))]",2.4
U0043,P022,Apparel,"[('P011', datetime.date(2024, 5, 17)), ('P022', datetime.date(2024, 10, 5)), ('P007', datetime.date(2024, 6, 18)), ('P024', datetime.date(2024, 3, 18))]",5.0
U0043,P007,Apparel,"[('P011', datetime.date(2024, 5, 17)), ('P022', datetime.date(2024, 10, 5)), ('P007', datetime.date(2024, 6, 18)), ('P024', datetime.date(2024, 3, 18))]",4.3
U0043,P024,Books,"[('P011', datetime.date(2024, 5, 17)), ('P022', datetime.date(2024, 10, 5)), ('P007', datetime.date(2024, 6, 18)), ('P024', datetime.date(2024, 3, 18))]",1.8
U0044,P027,Home Appliances,"[('P027', datetime.date(2024, 8, 6)), ('P040', datetime.date(2024, 5, 25))]",1.6
U0044,P040,Groceries,"[('P027', datetime.date(2024, 8, 6)), ('P040', datetime.date(2024, 5, 25))]",3.6
U0045,P014,Home Appliances,"[('P014', datetime.date(2024, 4, 26)), ('P011', datetime.date(2024, 6, 27)), ('P048', datetime.date(2024, 7, 10)), ('P010', datetime.date(2024, 10, 2)), ('P050', datetime.date(2024, 7, 9))]",1.7
U0045,P011,Toys,"[('P014', datetime.date(2024, 4, 26)), ('P011', datetime.date(2024, 6, 27)), ('P048', datetime.date(2024, 7, 10)), ('P010', datetime.date(2024, 10, 2)), ('P050', datetime.date(2024, 7, 9))]",1.7
U0045,P048,Electronics,"[('P014', datetime.date(2024, 4, 26)), ('P011', datetime.date(2024, 6, 27)), ('P048', datetime.date(2024, 7, 10)), ('P010', datetime.date(2024, 10, 2)), ('P050', datetime.date(2024, 7, 9))]",3.7
U0045,P010,Home Appliances,"[('P014', datetime.date(2024, 4, 26)), ('P011', datetime.date(2024, 6, 27)), ('P048', datetime.date(2024, 7, 10)), ('P010', datetime.date(2024, 10, 2)), ('P050', datetime.date(2024, 7, 9))]",2.2
U0045,P050,Books,"[('P014', datetime.date(2024, 4, 26)), ('P011', datetime.date(2024, 6, 27)), ('P048', datetime.date(2024, 7, 10)), ('P010', datetime.date(2024, 10, 2)), ('P050', datetime.date(2024, 7, 9))]",4.8
U0046,P027,Home Appliances,"[('P027', datetime.date(2024, 3, 21)), ('P016', datetime.date(2024, 10, 9)), ('P041', datetime.date(2024, 10, 3)), ('P007', datetime.date(2024, 5, 16))]",1.4
U0046,P016,Books,"[('P027', datetime.date(2024, 3, 21)), ('P016', datetime.date(2024, 10, 9)), ('P041', datetime.date(2024, 10, 3)), ('P007', datetime.date(2024, 5, 16))]",2.4
